S.No.,User,Rating,Review_summary,Customer_info,Date,Upvote,Downvote,Review_detail
50,nagendra kumar,5,Mind-blowing purchase,"Certified Buyer, Tadipatri",nagendra kumar,13,0,Excellent camera 😍
51,Mayank Gupta,5,Simply awesome,"Certified Buyer, New Delhi",Mayank Gupta,46,6,Excellent build quality. Much faster and smoother
52,Shweta Singh,4,Good choice,"Certified Buyer, Indore",Shweta Singh,99,18,Nice
53,PRABIR NATH,5,Classy product,"Certified Buyer, New Town",PRABIR NATH,77,13,What a phone.
54,Flipkart Customer,5,Great product,"Certified Buyer, Sulthan Bathery",Flipkart Customer,667,170,Nice looking phone.
55,Harsh  Parab,5,Wonderful,"Certified Buyer, Bicholim",Harsh  Parab,382,92,"My 1st IOS device so far good😊Midnight Black the best you can have, the Camera quality is excellent along with the multitasking performance. Go for it!"
56,_PP_ 1104,5,Excellent,"Certified Buyer, Salem",_PP_ 1104,50,7,Looking Awesome ✨✨
57,Pradeep  Padhi,5,Excellent,"Certified Buyer, Pune",Pradeep  Padhi,59,9,awesome build quality and features
58,Lakshit Sharma,5,Simply awesome,"Certified Buyer, Ankleshwar",Lakshit Sharma,153,32,Best phone but same as Iphone 13. There is no difference in 13 and 14.
59,Shatrudra,5,Great product,"Certified Buyer, Ballia District",Shatrudra,40,5,Best in the market. Camera quality awesome Battery easily goes for a daySpeakers are really good.
60,Aamir Khan,5,Best in the market!,"Certified Buyer, Sopore",Aamir Khan,136,28,"Absolutely Awesome, Switching to iPhone was not easy but once i started using this phone. I am loving it."
61,Zala  Vijendrasinh,5,Classy product,"Certified Buyer, Secunderabad",Zala  Vijendrasinh,70,12,Nice
62,Neetika  Verma,5,Mind-blowing purchase,"Certified Buyer, Gurugram",Neetika  Verma,19,1,Excellent camera😊
63,Manwendra  Tiwari,5,Terrific,"Certified Buyer, New Delhi",Manwendra  Tiwari,123,25,Purchase on First day sale in BBD23.Will share full review after use.I am shifting from Android to IPhone.
64,Manas Dawar,1,Don't waste your money,"Certified Buyer, Noida",Manas Dawar,24,2,Very poor delivery service. I didn't exchange the phne and delivery executive charged me extra then what was required to pay and after calling flipkart customer very poor response from them . Not with buying goods for flupkart
65,Subhajit Paul,4,Delightful,"Certified Buyer, Kolkata",Subhajit Paul,89,17,Thanks Flipkart for this all new iPhone without any problem I got it and I'm finally Shifted 5 years later  redmi not 5 pro to new. iPhone 14 i really do hard work for this thing Last 8 month  Thanks 😊 I'm happy 😁 ❤️
66,Flipkart Customer,5,Brilliant,"Certified Buyer, Solapur",Flipkart Customer,135,29,Love IPhone Dream IPhone..💜😍✌️🖤
67,Ashish Kumar,5,Perfect product!,"Certified Buyer, Mandi District",Ashish Kumar,11,0,awesome phone..i switched from android to ios first time and became a big fan of ios. Performance is excellent and display camera everything is awesome❤️❤️.
68,Flipkart Customer,5,Classy product,"Certified Buyer, Manesar",Flipkart Customer,127,27,iphone is great Canera qulity is best Battery is powerful All dizine bestWork all best All over best
69,Jagdeep Arry,5,Simply awesome,"Certified Buyer, New Delhi",Jagdeep Arry,37,5,Best Phone in market.
70,Grace George,4,Really Nice,"Certified Buyer, Kakkanad",Grace George,41,6,4 out of 5 Phone was so handy and superb
71,Flipkart Customer,1,Useless product,"Certified Buyer, Rangapara",Flipkart Customer,11,0,Over heating normal use
72,Kajal Kumari,5,Classy product,"Certified Buyer, Gurugram",Kajal Kumari,63,12,Very smooth and camera is awesome 😍
73,Nayan Salve,5,Worth every penny,"Certified Buyer, Ahmadnagar",Nayan Salve,43,7,This is my first IOS device and I like it..I gifted this to my younger brother and he loved it. iPhone in-hand feel is damn premium 🙌🏻 also the camera quality is top notch to be honest I bought this phone only for smooth processor and camera quality. Just go for it
74,Vishwaroop Goswami,5,Wonderful,"Certified Buyer, Bengaluru",Vishwaroop Goswami,98,22,"Review after a week Overall a powerful package for photo, video and gaming. Only thing which could have been better is battery, though it works whole day with low usage , but extensive use it would not go beyond half day.Camera 4/5Pictures in full zoom- 3Sound quality- 5/5Display- 4.5/5Performance- 5"
75,kundan kumar,5,Best in the market!,"Certified Buyer, Gaya District",kundan kumar,38,6,Awesome camera
76,Pranab Sarkat,5,Excellent,"Certified Buyer, Jsw Steel Plant Township",Pranab Sarkat,15,1,Best camera phone
77,Deepanshu Arora,5,Simply awesome,"Certified Buyer, New Delhi",Deepanshu Arora,113,28,My First iphone experience even though its 60hz refresh rate but feels so smooth and optimized and performance is top notch🔥..if u r looking for an iphone 13..go for i phone 14 trust me u will love it❤️
78,Avi thakur,1,Unsatisfactory,"Certified Buyer, Karoran",Avi thakur,37,6,I don't know why people never talk about its heat issue.. i was Android user first time using iphone 14.. bro it heat like tawa when charging. And even normal use too. I was planning to buy Google 7 but then I saw so much user saying Google 7 have heat issue so I decided spend some more money go for iphone as lots of people never say any negative for iphone... Trust me I will never buy iPhone again...
79,Vishal Maurya,5,Brilliant,"Certified Buyer, Mahimapur",Vishal Maurya,93,22,Nice
80,Abhijeet Ghumare,5,Best in the market!,"Certified Buyer, Pune",Abhijeet Ghumare,29,4,"Best in class in all the aspects. Top notch performance for display, camera and everything."
81,ANISH  SHAIKH,2,Expected a better product,"Certified Buyer, Thane",ANISH  SHAIKH,9,0,Five stars for the iPhone and Zero star for Flipkart exchange policy.My exchange phone was in good condition but still during exchange the price was reduced drastically.I was aware of this exchange scam and decided not to give the old phone.
82,Ajinkya  Surve,5,Terrific purchase,"Certified Buyer, Konkan Division",Ajinkya  Surve,10,0,Simply superb so farNo complaints as of nowPhone was delivered within one day after order
83,Nisar Ali,5,Perfect product!,"Certified Buyer, Burdwan",Nisar Ali,10,0,Best Performance
84,Sunil Kumar,5,Perfect product!,"Certified Buyer, Berhampur",Sunil Kumar,8,0,Value for money product if you get the deal around 65 k .
85,shivam kashyap,5,Awesome,"Certified Buyer, Barnala",shivam kashyap,20,2,Nice one
86,Binita Thounaoajm,5,Excellent,"Certified Buyer, Imphal",Binita Thounaoajm,20,1,Love it
87,Mohammad Musaib,5,Worth every penny,"Certified Buyer, Sopore",Mohammad Musaib,291,89,I'm happy with the phone and the deal I got from the Flipkart.
88,Nishant Singh,1,Useless product,"Certified Buyer, Etah",Nishant Singh,45,9,"Very disgusting, my iphone battery health goes 99% within 22 days of purchasing. Even I'm not played a single game 👎👎👎"
89,Pawan Vinjamuri,5,Excellent,"Certified Buyer, Palacole",Pawan Vinjamuri,19,2,Good one got it around 67k . This is my first Apple mobile. Took time to get habituated to apple eco system but worth the wait. Simple and easy.
90,Kumar Kumar,5,Classy product,"Certified Buyer, Tiruttani",Kumar Kumar,19,2,It looks so pretty 🫣❤️
91,Flipkart Customer,5,Best in the market!,"Certified Buyer, Bangalore",Flipkart Customer,41,8,Quality + Performance + Integrity = Apple Inc
92,Lalit Kumar,5,Just wow!,"Certified Buyer, Ghaziabad",Lalit Kumar,13,1,"No doubt, awesome product, go for it"
93,Asamanjay Singh,4,Good choice,"Certified Buyer, Kanpur",Asamanjay Singh,8,0,Good
94,Jagdeep S,5,Mind-blowing purchase,"Certified Buyer, Mukerian",Jagdeep S,22,3,Best quality
95,Flipkart Customer,5,Terrific purchase,"Certified Buyer, New Delhi",Flipkart Customer,36,7,I simply love it🥰🥰🥰🥰🥰Camera quality 🥰🔋😍😍Very happy 😊
96,Abhishek  Malik,1,Worthless,"Certified Buyer, Ghaziabad",Abhishek  Malik,18,2,"I've recieved defective product and no one is taking responsibility of it nowFlipkart saying go to apple, apple saying ask Flipkart for replacement.The wifi is not getting connected and once it gets connected, it keeps getting disconnected after 5 minutes and when I'm playing any live video on the phone it's keeps lagging and hang in the middle. So frustrating."
97,Jatin Sharma,5,Worth every penny,"Certified Buyer, New Delhi",Jatin Sharma,28,5,Amazing Product 😇💯
98,ravi sharma,5,Classy product,"Certified Buyer, Jaipur",ravi sharma,49,12,I switch  from x r  to 14 great experience Best display and sound quality and some fabulous changes in camera is also.great
99,Sharvan Sah,5,Delightful,"Certified Buyer, Rosera",Sharvan Sah,37,8,"Excellent Smartphone, Amazing Picture quality, Good sound quality"
100,Ayush minhas,5,Great product,"Certified Buyer, Una",Ayush minhas,13,0,You ever Heard the word Satisfaction...Yesss that is exactly how it feels to have it.
101,Flipkart Customer,5,Brilliant,"Certified Buyer, Walajapet",Flipkart Customer,24,4,I using this mobile for 2 days before I using Samsung m30 so..... This iPhone was very handy Performance a15 bionic with 6 core processorWe can't find the difference day to day life soo...this is awesome next camera camera is top notch I don't how to tell in words this very good camera same as dslr and videos is soo good quality but action mode is take 2.8k resolution and in dimlight is was sooo bad so while you take with action use gimbal ..... And over all the phone very good 👍
102,Vikas Choudhary,5,Great product,"Certified Buyer, New Delhi",Vikas Choudhary,20,3,"I wanted to buy yellow colour but that was not delivering on my pin code so went for this colour.After receiving this, I have no regression.Love this.iPhone heats a lot because of its built. Its frame is steel and the back is glass but it has great things when it gets hot, it restricts some features to cool it down.The camera is good, sometimes it misses focus.Performance is the best part of it."
103,Sathvick Kumaran,5,Terrific,"Certified Buyer, The Nilgiris District",Sathvick Kumaran,8,0,I bought iPhone 14 in big billion days. Very happy. Excellent Product deliveryExcellent hapticsExcellent PerformanceExcellent CameraExcellent In hand feelExcellent Eco System if u have other apple products❤️ From Ooty Thank you Flipkart for the big billion days 🎉
104,Jyoti Ranjan  Das,5,Brilliant,"Certified Buyer, Sambalpur",Jyoti Ranjan  Das,8,0,"I was an android user since six years ,Upgraded to iPhone 14 and it is worth itFeatures are next level 👍"
105,aishwarya charya,5,Just wow!,"Certified Buyer, Mapusa",aishwarya charya,8,0,Amazing camera❤️❤️❤️
106,Manish  Chaudhary,5,Perfect product!,"Certified Buyer, Thakurdwara",Manish  Chaudhary,329,129,Amazing deviceI switch to iPhone 14 from iPhone 8. Great camera and power management full day battery backup. Sound quality and display also awesome. Just go for it if you have enough money
107,Sahil Jaat,5,Perfect product!,"Certified Buyer, New Delhi",Sahil Jaat,38,9,Good
108,Debasish  Kakati,5,Just wow!,"Certified Buyer, Tinsukia",Debasish  Kakati,106,35,I just love this phone  for the 1st time and the performance is awesome  just wow camera quality battery everything is awesome . I prefer anyone who can use this phone . Iphone using it for the 1st time never getting any problem . Just thank you Flipkart for providing me these at low cost as compared to retail shops . Thank you Flipkart and Apple . Just love it .
109,Emanuel John,5,Great product,"Certified Buyer, Tirupati",Emanuel John,16,2,Awesome deal Tq Flipkart.IPhone 14 was powerfully packed 5G .Battery is good.Cameras next level .finally iPhone 14 is superb.loved It
110,prem,5,Perfect product!,"Certified Buyer, New Delhi",prem,16,2,Very good phone
111,Flipkart Customer,3,Fair,"Certified Buyer, Kantabanji",Flipkart Customer,12,1,Superb performance
112,Fahad Qureshi,5,Classy product,"Certified Buyer, Dharwad",Fahad Qureshi,10,1,"Genuine and nice,worthy upgrade considering technical enhancements over IPhone 13(may not be for 13 users),like better sensor and low light performance, extra 2gb ram,5 core Gpu(as in 13 pro) and  longer ios support.New ios 16 is stable.Flipkart service is good."
113,Preet Bawa,1,Absolute rubbish!,"Certified Buyer, Sangrur District",Preet Bawa,18,3,No issues with product but flipkart services very bad
114,Ankit kumar Saw,5,Super!,"Certified Buyer, Rourkela",Ankit kumar Saw,10,1,Camera and battery Quality us best in this segment
115,Flipkart Customer,5,Excellent,"Certified Buyer, Ghaziabad",Flipkart Customer,112,39,iPhone 14 starlight 🤍 beautiful design excellent camera great battery. I think it is better than previous year iPhone 13. Go for it 👌
116,Amit Yadav,5,Classy product,"Certified Buyer, Patna",Amit Yadav,27,6,I think this is wow what a performance camera too good love it
117,Prasanna Kulkarni,5,Classy product,"Certified Buyer, Pune",Prasanna Kulkarni,36,9,"Very good purchase.i bought it for my wife as a Padwa gift.but just my views on purchasing this expensive phone- if you are using Iphone very lower version go for it but if you are already in iphone 13 or 11 do not spend money,its not worth.no much change.but if you have lots of money then go for it.wife was using iphone 7 hence i purchased this latest one.now no purchase atleast for 6 years. iphone 7 also used 5 years and believe me it has no issues at all, but the only problem was batte..."
118,Ashutosh Kumar,5,Classy product,"Certified Buyer, Behea",Ashutosh Kumar,403,174,"Great phone with great capabilities 🔥Excellent camera 📸Processor same as my 13pro New blue colour is awesome ❤️I have :- 14pro . 13pro . 12. 12mini . Also new this one iphone 14 . One thing is common in all have , there is no lag till the date. The one thing I always said it is what it is🔥🔥"
119,PENTA AMAR PENTA AMAR,5,Simply awesome,"Certified Buyer, Hanamkonda",PENTA AMAR PENTA AMAR,30,7,Very nice
120,Flipkart Customer,1,Did not meet expectations,"Certified Buyer, Moradabad",Flipkart Customer,15,2,Mic not working
121,Sufain,5,Terrific purchase,"Certified Buyer, Bengaluru",Sufain,15,2,Good nice trusted i checked everything i was conserned about weather I'll get fooled by delivery and all but it was new i checked everything as people used to say we get refurbished phone no it was good new fresh
122,Ayaz Ahmad,4,Nice product,"Certified Buyer, Mankapur",Ayaz Ahmad,114,42,Thanks for Flipkart
123,Shashwat Raut,5,Super!,"Certified Buyer, Nagpur",Shashwat Raut,20,4,Superb quality
124,Gaurav Sharma,4,Good quality product,"Certified Buyer, Changodar Gidc",Gaurav Sharma,44,26,"Iphone 14 Awesome 😍😍 . Easy to carry i phone . Light weight. And very effective in daily usage. Battery is effective according to daily usage. Pictures, sound output, is always the best.Camera is always amazing ( cinematic video is wow). Colour is awesome 🙂🙂 overall very good 😊😊"
125,Swapna Priya,1,Not recommended at all,"Certified Buyer, Hyderabad",Swapna Priya,25,6,"Unnecessary am taking iPhone 14 totally waste of my money..phone is too much heated while charged like china mobiles any time may blast..even fully charged within 3,4 hours usage charge comes to 🪫"
126,Karan Singh,5,Worth every penny,"Certified Buyer, Ghaziabad",Karan Singh,26,6,"Better than iphone 13. Especially that 13 number is considered unlucky. Moreover, better camera, battery, quality. And finally, color purple is very nice Namaste🙏"
127,Bipraneel Bhattacharjee,5,Great product,"Certified Buyer, Bidhan Nagar",Bipraneel Bhattacharjee,11,1,Nice camera.Amazing night mode.Battery performance good. Loving it.
128,Chanchal Kumari,5,Perfect product!,"Certified Buyer, Noida",Chanchal Kumari,11,1,I love the product. Love the camera.
129,Abhilash Pv,5,Excellent,"Certified Buyer, Pattambi",Abhilash Pv,7,0,"Simply awesome. But battery health going like  a bullet train, after 50 days of usage battery health showing 98%."
130,Shivm Sharma,5,Terrific,"Certified Buyer, Faridabad",Shivm Sharma,7,0,Awesome device form apple just go for it and main point is Flipkart delivery facility is best.
131,Hiren Chaudhari,5,Great product,"Certified Buyer, Tapi District",Hiren Chaudhari,7,0,🍎Apple 14 i like it
132,Shobhika Cg,5,Awesome,"Certified Buyer, Kollam",Shobhika Cg,7,0,Astounding
133,Mahesh  Kote,5,Terrific purchase,"Certified Buyer, Rahata",Mahesh  Kote,20,4,All rounder phoneHandy phoneBest camera battery performance
134,G Madhusudhanarao,1,Did not meet expectations,"Certified Buyer, Ongole",G Madhusudhanarao,19,4,Battery very low time not supporting Flipkart
135,Rajish p,5,Horrible,"Certified Buyer, Malappuram District",Rajish p,20,4,Don't buy..... More heating
136,Om Prakash Bhagat,5,Must buy!,"Certified Buyer, Purba Bardhaman District",Om Prakash Bhagat,14,2,Nice Cinematic Video and Portrait photography
137,KESHAV KUMAR MEENA,3,Decent product,"Certified Buyer, Bengaluru",KESHAV KUMAR MEENA,40,12,"The iPhone 14 is a solid choice for those looking for a high-quality smartphone experience. The camera is top-notch, the performance is smooth, and the design is sleek and modern. However, there are a few drawbacks to consider when comparing it to Android phones.One of the biggest cons of the iPhone 14 is its lack of customization options. Apple has a strict policy on what apps and features can be used on their devices, which can be frustrating for users who want more control over their pho..."
138,Rick  Dey,3,Does the job,"Certified Buyer, Maldah District",Rick  Dey,25,6,Handy. Premium felling
139,Amit  Sanwal,5,Must buy!,"Certified Buyer, Haldwani",Amit  Sanwal,22,5,Product is amazing as expected from iphone. Got this recently in a sale with a whopping price of 63k including all discounts. Loving it!!!!
140,Rakesh Sarkar,5,Fair,"Certified Buyer, Gakulpur",Rakesh Sarkar,39,12,Superb
141,Shamim  Khan,5,Terrific,"Certified Buyer, Mumbai",Shamim  Khan,29,8,Do I need to write a review? The name is enough. Apple ❤️😂
142,Terence Bob,1,Useless product,"Certified Buyer, Pune",Terence Bob,24,6,"The product is fine, the buying experience was horrible. Better to avoid buying anything from Flipkart."
143,Rahul  Goswami,5,Must buy!,"Certified Buyer, Dharmanagar",Rahul  Goswami,16,3,Superb camera and performance... Battery life is also good.... Great Display and awesome looks... 60hz refresh rate is better than android 90hz... Loved it ❤
144,B,1,Waste of money!,"Certified Buyer, Bengaluru",B,10,1,Flipkart sold a cosmetically defective product and never took ownership and replaced it. Terrible customer support and issue resolution from the team. Please never buy high value goods from Flipkart. Don't waste your money. Buy directly from Apple; their customer support is excellent.
145,Chaitanya  Maske,5,Must buy!,"Certified Buyer, Pune",Chaitanya  Maske,10,1,Great performance
146,Prosenjit Santra,5,Fabulous!,"Certified Buyer, Howrah",Prosenjit Santra,9,1,Nice Phone.
147,Flipkart Customer,4,Pretty good,"Certified Buyer, Khutar",Flipkart Customer,7,1,Thanks Flipkart service is fine nd it comes in a 2 days.product is genuine nd I love it
148,Flipkart Customer,5,Fabulous!,"Certified Buyer, Sauli Khad Industrial Area",Flipkart Customer,8,1,It's a perfect mobile. Comfortable in hands... Size is good. Looks so classy. For me it's the best
149,afzal khan,5,Fabulous!,"Certified Buyer, Mumbai",afzal khan,254,125,Best one. Have not used a better mobile than this yet. currently one of the best phone in the market.
150,Flipkart Customer,1,Did not meet expectations,"Certified Buyer, Pune District",Flipkart Customer,13,2,Please do not buy anything from Flipkart especially electronics with an exchange. I received iPhone 14 but the old phone was nerve picked up for an exchange and it has been 20 days now without an update.
151,Flipkart Customer,5,Fabulous!,"Certified Buyer, Hyderabad",Flipkart Customer,13,2,"First iPhone I'm so excited 🙃 It is wonderful, good battery performance for gamer ✌️"
152,Dipu Patgiri,3,Decent product,"Certified Buyer, Jammu",Dipu Patgiri,6,0,Battery performance is too bad . Battery health goes down to 97 in just two months
153,abhishek kumar  singh,4,Pretty good,"Certified Buyer, Barabanki",abhishek kumar  singh,6,0,Very nyc phone
154,Meghna Sharma,1,Terrible product,"Certified Buyer, New Delhi",Meghna Sharma,5,0,I don't like colour and speed is very slow
155,Flipkart Customer,1,Absolute rubbish!,"Certified Buyer, Faridabad",Flipkart Customer,5,0,"Hang issue , feels like used slow iphone"
156,Babu 820967,5,Classy product,"Certified Buyer, Hisar",Babu 820967,6,0,"Powerful A15 Bionic chipLong-lasting battery lifeImproved camerasNew Cinematic mode for videoSleek and durable designSharp and vibrant display5G connectivityiOS 16 with new features and customizationsAvailable in four colors: Midnight, Starlight, Product Red, and Purple"
157,Anshuman Prakash,5,Mind-blowing purchase,"Certified Buyer, Pune",Anshuman Prakash,6,0,Best smartphone I can get my hands on till this point of my life.
158,Nishant Kumar,5,Terrific,"Certified Buyer, Hazaribagh",Nishant Kumar,6,0,Loved it
159,ADOSH SHASHIKANT  DIXIT,5,Brilliant,"Certified Buyer, Nagpur",ADOSH SHASHIKANT  DIXIT,4,0,"No two ways , it's a great product, I haven't used iPhone before, this feels real good phone , great battery life , iOS is really better in stability and speed"
160,Shivam Kumar,5,Awesome,"Certified Buyer, Barbigha",Shivam Kumar,4,0,Overall good product
